insight_type,transcript_id,customer_or_account,call_type,risk_score,risk_terms,sentiment_label,suggested_action,example_excerpt
Churn / Renewal Risk Signals,01KQ1DCC80852AE384C898C9,Quantumedge,external,13,"renewal, competitor, pricing, budget, contract, trust, confidence, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platform reliability and re"
Churn / Renewal Risk Signals,01KQ351E141926AB7CAB668D,Northstarpharma,external,8,"renewal, cancel, confidence, risk, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Grace Yoon (Northstar) called with serious concerns after a six-hour outage of Aegis Detect left her security team with zero threat monitoring visibility in a HIPAA-regulated pharma environment. This was the second reliability incident in eight months, prompti"
Churn / Renewal Risk Signals,01KQ45C76AF3AEA6B3EA6697,Steelpointmfg,external,8,"renewal, competitor, pricing, contract, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Daniel Okafor and Sofia Petrov met with Harold Jensen to discuss the upcoming renewal of a three-module cybersecurity platform contract (Protect, Detect, and Comply) ahead of an April 30th deadline. Harold raised concerns about a recent six-hour outage that le"
Churn / Renewal Risk Signals,01KQ5A966832A146DA4B7D41,Summittrust,support,8,"renewal, competitor, pricing, trust, confidence, risk",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Maria Santos (CSM) met with Alicia Monroe from Summit Trust to address concerns ahead of their upcoming renewal. Alicia raised critical issues with Aegis Identity, including inconsistent MFA enforcement in their loan origination system and internal reporting p"
Churn / Renewal Risk Signals,01KQ410FB7E434BA3F99EE7D,Axiomlabs.Dev,support,7,"renewal, pricing, contract, trust, procurement",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Aisha Johnson (CSM) held a renewal planning call with Ryan Caldwell and Mina Joshi ahead of their end-of-May contract anniversary. The customer expressed strong overall satisfaction with the platform, particularly with the Identity and Comply v2 modules, while"
Churn / Renewal Risk Signals,01KQ8C5A044F54EE1774D53C,Helixdata,external,7,"competitor, confidence, risk, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",Maria Santos and Kevin O'Brien from Aegis held an urgent call with Charles Ng from Helix to address a six-hour outage in their threat monitoring pipeline caused by a single point of failure in the event ingestion system. Charles expressed significant frustrati
Churn / Renewal Risk Signals,01KQ56AA6B60801ABC01AB1C,Clearwatermed,support,6,budget,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Clearwater Medical's Ajay Mehta (Compliance Manager) and Natalie Simmons (IT Director) contacted Aegis Cloud Security to dispute a $4,000+ April invoice. The primary dispute involves $3,200 in Comply module overages tied to report generation during the v2 laun"
Churn / Renewal Risk Signals,01KQ4D71CDFB1045A2458216,Bridgeporthealth,external,6,"renewal, pricing, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","James Mitchell led a renewal call with Evelyn Park of Bridgeport, joined by Kevin O'Brien (Solutions Architecture) and Ravi Gupta (DevOps). Evelyn shared overall positive feedback on Aegis Protect and Identity modules, while raising concerns about a six-hour D"
Churn / Renewal Risk Signals,01KQ2D93184912F0147315E7,Blackridgeinvest,support,6,"competitor, trust, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a ca
Churn / Renewal Risk Signals,01KQ1DC6CA536DE1B31ED8F5,Atlasprecision,external,6,"renewal, pricing, budget, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and February, which were ca"
Churn / Renewal Risk Signals,01KQFFC0F889AE8CFEE7A00D,Blackridgeinvest,external,6,"renewal, pricing, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Aisha Johnson and engineer Ananya Sharma met with Julia Tran of Blackridge for a renewal check-in call. Julia expressed strong overall satisfaction with the platform, particularly praising Aegis Protect's performance during a Q4 disaster recovery tabletop exer"
Churn / Renewal Risk Signals,01KQ7FA71CF70FAFEE4B6251,Novaretail,support,5,"renewal, competitor, contract, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Aisha Johnson (CSM) met with Stephanie Blair from Nova Retail ahead of their end-of-next-month renewal to assess account health. Stephanie expressed significant frustration stemming from a six-hour Aegis Detect outage on March 10th, ongoing compliance reportin"
