insight_type,requested_capability,frequency,impacted_call_types,example_excerpts,why_it_matters
Feature Request Mining,alerting and escalation,78,"{""internal"": 12, ""support"": 41, ""external"": 25}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,export and reporting,77,"{""internal"": 11, ""external"": 33, ""support"": 33}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,dashboarding and analytics,67,"{""internal"": 11, ""external"": 25, ""support"": 31}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0F8AFF3DA34FD4580008: Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,onboarding and documentation,59,"{""internal"": 8, ""support"": 24, ""external"": 27}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,integration and API reliability,52,"{""support"": 23, ""internal"": 7, ""external"": 22}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,granular restore and backup controls,33,"{""external"": 16, ""support"": 12, ""internal"": 5}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1A6B7E81B06F4A13B60D: Kendra Wallace from a retail company contacted Aegis Cloud Security support regarding severely degraded backup performance, with nightly jobs taking 4-6 hours instead of the usual 90 minutes over the past three weeks. David Kim identified a | 01KQ1DCC80852AE384C898C9: Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platfor",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,audit logs and data retention,32,"{""external"": 18, ""internal"": 4, ""support"": 10}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ1DC6CA536DE1B31ED8F5: Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and Feb",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,authentication and admin controls,31,"{""support"": 14, ""internal"": 5, ""external"": 12}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ1DE954A807A5D2653175: Megan and Chris conducted a launch readiness review for Comply v2, targeting an April 7th release. A recent Detect outage pulled two engineers off the project for four days, causing a 5-6 day slip on the HIPAA and ISO 27001 reporting engine",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,automation and workflow,29,"{""external"": 12, ""internal"": 5, ""support"": 12}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ25D8AED944B5D2A9FF60: Jason Hoffman from Meridian contacted Aegis support (Sarah Chen) regarding the lack of granular file-level restore capabilities in Aegis Protect. An analyst had accidentally overwritten config files on an EBS-backed EC2 trading platform, re",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
Feature Request Mining,billing and pricing visibility,24,"{""support"": 10, ""external"": 12, ""internal"": 2}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0F8AFF3DA34FD4580008: Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that | 01KQ1DC6CA536DE1B31ED8F5: Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and Feb",Gives PMs roadmap evidence grounded in customer language rather than anecdote.
