insight_table,insight_type,transcript_id,call_type,theme,risk_score,reason,suggested_owner,example_excerpt,why_it_matters,requested_capability,frequency,impacted_call_types,example_excerpts,customer_or_account,risk_terms,sentiment_label,suggested_action,stakeholder,primary_question,top_relevant_theme,relevant_transcripts,negative_transcripts,recommended_action,customer_facing_theme,customer_facing_count,internal_discussion_count,alignment_status
escalation_risks,Escalation Risk Detection,01KQ2331EFD78BF3B1CAB747,support,Product bugs and technical reliability,9.0,"urgent, escalat, sla, outage, executive, critical",engineering + support,The team convened an urgent internal call to address a significant outage of their Detect product that left customers without security monitoring for approximately six hours overnight. A single point of failure in the event ingestion pipeline caused a cascadin,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ2D93184912F0147315E7,support,Product bugs and technical reliability,9.0,"escalat, sla, breach, outage, executive, critical",engineering + support,Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a ca,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ46A9DE0AECB006D897A0,support,Product bugs and technical reliability,9.0,"escalat, sla, outage, downtime, executive, critical",engineering + support,"A critical outage call was held between Tyler (engineering), Diana (customer success/sales), and Marcus (support) regarding a complete failure of the Detect threat monitoring pipeline that began at 2:47 AM. The ingestion layer experienced a cascading failure f","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ38C4101D6774F2F02331,support,Product bugs and technical reliability,8.0,"escalat, sla, breach, outage, critical",engineering + support,"A critical outage call was convened to address a complete failure of the Detect event processing pipeline that began around 9:14 AM Pacific. The ingestion pipeline's single primary node hit a memory ceiling and crashed due to lack of redundancy, a known tech d","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ6A5CEAAFFBE3B0099E75,support,Product bugs and technical reliability,8.0,"escalat, outage, downtime, critical, unresolved",engineering + support,"Harold Jensen, IT Director at Steelpoint Manufacturing, called regarding a 3-day-old unresolved LDAP sync failure with Aegis Identity affecting 200+ employees on a 24/7 manufacturing floor. Marcus Williams diagnosed the root cause as an SSL handshake failure c","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ94C2B8B9B4668F3D3491,support,Product bugs and technical reliability,8.0,"escalat, sla, breach, outage, critical",engineering + support,"Mark Ellison, Infrastructure Lead at Ridgeline Logistics, contacted Aegis Cloud Security support regarding a complete outage of his Detect dashboard that began around 11 PM on March 11th. Elena Vasquez and Sarah Chen confirmed this is a platform-side issue cau","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ351E141926AB7CAB668D,external,Product bugs and technical reliability,7.0,"sla, breach, outage, executive",engineering + support,"Grace Yoon (Northstar) called with serious concerns after a six-hour outage of Aegis Detect left her security team with zero threat monitoring visibility in a HIPAA-regulated pharma environment. This was the second reliability incident in eight months, prompti","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ1DCC80852AE384C898C9,external,"Renewal, pricing, and account risk",7.0,"sla, breach, outage, postmortem",engineering + support,"Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platform reliability and re","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ88B8EAEAA819C26CCBE7,support,Product bugs and technical reliability,7.0,"escalat, outage, executive, critical",engineering + support,"Aegis Cloud Security support rep Elena Vasquez spoke with Grace Yoon and Frank Delaney (VP of IT) of Northstar, a pharmaceutical company, regarding a platform-wide outage of the Aegis Detect event processing pipeline that had been ongoing for approximately nin","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQEDB92E33CF9945A7F71B,support,Product bugs and technical reliability,7.0,"escalat, sla, outage, critical",engineering + support,"Lauren Bishop, VP of Infrastructure at Cobalt Software, called Aegis Cloud Security support reporting that their Aegis Detect dashboard was completely down with no threat visibility for nearly an hour. David Kim investigated and confirmed a platform-wide casca","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ8C5A044F54EE1774D53C,external,Product bugs and technical reliability,7.0,"urgent, escalat, sla, outage",engineering + support,Maria Santos and Kevin O'Brien from Aegis held an urgent call with Charles Ng from Helix to address a six-hour outage in their threat monitoring pipeline caused by a single point of failure in the event ingestion system. Charles expressed significant frustrati,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQBBF753B44DE677670E6D,support,Product bugs and technical reliability,7.0,"escalat, outage, downtime, critical",engineering + support,"Alicia Monroe (Risk Manager) and Gregory Fisk (IT Director) from Summit Trust contacted Aegis Cloud Security support regarding threat alert delays of 20-45 minutes in their Detect platform, which is critical given their financial services regulatory obligation","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ6CAA850EAFDC48B52846,external,Product bugs and technical reliability,6.0,"escalat, sla, outage, downtime, executive",engineering + support,"Maria Santos met with Catherine Page and Russell Tang to address serious concerns about Aegis following a six-hour monitoring outage in March that affected their manufacturing OT environment, poor communication during the incident, and gaps in compliance repor","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ325BDEDEE927D2970775,support,Product bugs and technical reliability,6.0,"escalat, sla, breach",engineering + support,Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event pr,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ298F2846EFE59B0D70E2,support,Product bugs and technical reliability,6.0,"escalat, sla, outage",engineering + support,"The team convened to address fallout from a six-hour platform outage that caused a complete loss of threat monitoring visibility. Competitors SentinelShield and CyberNova are actively targeting at-risk accounts, including Hartfield Financial and prospect Clear","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ4529010F423FD9DB40BD,internal,Product bugs and technical reliability,6.0,"escalat, outage, postmortem",engineering + support,"The team held a Q1 win-loss review revealing 34 closed-lost opportunities totaling $2.1M ACV, with SentinelShield (9 losses), VaultEdge (6), and CyberNova (4) as the primary competitors. A significant concern is the March Detect outage continuing to haunt late","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ7FA71CF70FAFEE4B6251,support,Product bugs and technical reliability,6.0,"urgent, sla, outage, executive, unresolved",engineering + support,"Aisha Johnson (CSM) met with Stephanie Blair from Nova Retail ahead of their end-of-next-month renewal to assess account health. Stephanie expressed significant frustration stemming from a six-hour Aegis Detect outage on March 10th, ongoing compliance reportin","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ5EC1665DCFD7A6B62A59,support,Product bugs and technical reliability,6.0,"escalat, outage, critical",engineering + support,Vanessa Cruz from a retail company contacted Aegis Cloud Security support regarding a critical SAML certificate rotation issue affecting 60-70% of her workforce on a Sunday. Support engineer Elena Vasquez identified the root cause as a known bug in Aegis Ident,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQBB7C4D4789DB2F3DA9C2,support,Product bugs and technical reliability,6.0,"escalat, executive, critical",support leader,"Vanta Health Systems contacted Aegis Cloud Security support regarding a critical issue with their LogVault SIEM connector dropping event data since February 8th, including complete 45-minute to 1-hour blackout windows. Sarah Chen and Priya Patel identified the","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQDD5172176D02DB51360A,support,Product bugs and technical reliability,5.0,"escalat, outage",engineering + support,"Dr. Linda Cheng, CTO of a healthcare organization, contacted Aegis Cloud Security support regarding a three-day outage of the Aegis Protect backup API affecting patient data backup workflows. Support agent Priya Patel investigated the issue and confirmed it wa","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ9772B2348F500FB09D1E,support,Product bugs and technical reliability,5.0,"escalat, critical, blocked",support leader,"Vanessa Cruz, VP of Engineering at Coastal Living Co, contacted Aegis Cloud Security support regarding a critical MFA token failure affecting approximately 40-45 users since 7 AM. The issue involves TOTP validation failures (error 4031) for users authenticatin","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ764171AC27A3A94DC695,internal,Product bugs and technical reliability,5.0,"sla, breach, outage, executive",engineering + support,"This 30-day post-incident review covered the March 10-18 Detect module outage, which caused six hours of complete threat monitoring blindness for 47 affected accounts due to a single point of failure in the event ingestion pipeline. The engineering team confir","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
